"","data.sa3_name","drive_time.origin","data.state","drive_time.time_mins","data.mean"
"167","Nathan","Nathan QLD 4111, Australia","Qld",15.47,56714.5016
"168","Rocklea - Acacia Ridge","17-37 Colebard St E, Acacia Ridge QLD 4110, Australia","Qld",24.63,52936.0642
"169","Sunnybank","Sunnybank QLD 4109, Australia","Qld",17.53,48918.8242
"170","Centenary","Centenary Heights QLD 4350, Australia","Qld",95.47,66351.414
"171","Kenmore - Brookfield - Moggill","3666 Moggill Rd, Moggill QLD 4070, Australia","Qld",34.3,82011.9546
"172","Sherwood - Indooroopilly","Shop 5 699 Sherwood Road, Sherwood Court, Sherwood QLD 4075, Australia","Qld",22.35,78189.9971
"173","The Gap - Enoggera","974 Waterworks Rd, The Gap QLD 4061, Australia","Qld",18.12,63920.9838
"174","Brisbane Inner","Inner City Bypass, Queensland, Australia","Qld",13.57,68892.3183
"175","Brisbane Inner - East","182 Riding Rd, Balmoral QLD 4171, Australia","Qld",15.6,77052.895
"176","Brisbane Inner - North","162 Alfred St, Fortitude Valley QLD 4006, Australia","Qld",11.73,83740.4837
"177","Brisbane Inner - West","29 McDougall St, Milton QLD 4064, Australia","Qld",6.97,78938.766
"178","Cairns - North","Cairns North QLD 4870, Australia","Qld",1160.14,56910.9
"179","Cairns - South","Cairns QLD, Australia","Qld",1157.25,51199.7238
"180","Innisfail - Cassowary Coast","Innisfail QLD 4860, Australia","Qld",1084.47,43305.8472
"181","Port Douglas - Daintree","Kiosk 1 17/11 Macrossan St, Port Douglas QLD 4877, Australia","Qld",1219.02,42693.2181
"182","Tablelands (East) - Kuranda","Kuranda Scenic Railway, Queensland, Australia","Qld",1217.55,44617.0297
"183","Darling Downs (West) - Maranoa","566 Ruthven St, Toowoomba City QLD 4350, Australia","Qld",96.28,46867.8
"184","Darling Downs - East","Darling Downs, QLD, Australia","Qld",208.7,43940.7943
"185","Granite Belt","Stanthorpe QLD 4380, Australia","Qld",161.23,38362.4102
"186","Central Highlands (Qld)","Central Highlands, QLD, Australia","Qld",535.03,69732.591
"187","Rockhampton","Rockhampton City QLD 4700, Australia","Qld",427.37,57389.6211
"188","Biloela","Biloela QLD 4715, Australia","Qld",391.33,56817.1644
"189","Gladstone","Gladstone Central QLD 4680, Australia","Qld",361.98,66744.2108
"190","Broadbeach - Burleigh","177 Old Burleigh Rd, Broadbeach QLD 4218, Australia","Qld",64.7,52688.3344
"191","Coolangatta","Coolangatta QLD 4225, Australia","Qld",69.98,48871.9564
"192","Gold Coast - North","North St, Southport QLD 4215, Australia","Qld",52.17,50858.2584
"193","Gold Coast Hinterland","Hinterland Dr, Mudgeeraba QLD 4213, Australia","Qld",54.53,48883.1154
"194","Mudgeeraba - Tallebudgera","51 Railway St, Mudgeeraba QLD 4213, Australia","Qld",53.3,51821.2801
"195","Nerang","Nerang QLD 4211, Australia","Qld",52.8,48724.6576
"196","Ormeau - Oxenford","Entertainment Road, Oxenford QLD 4210, Australia","Qld",42.28,54908.9754
"197","Robina","Robina QLD 4226, Australia","Qld",57.6,48764.83
"198","Southport","Southport QLD 4215, Australia","Qld",54.85,47049.6917
"199","Surfers Paradise","Surfers Paradise QLD 4217, Australia","Qld",59.57,60128.0397
"200","Forest Lake - Oxley","Oxley QLD 4075, Australia","Qld",21.83,49743.4743
"201","Ipswich Hinterland","","Qld",NA,45218.4998
"202","Ipswich Inner","Ipswich Rd, Queensland, Australia","Qld",8.92,52056.735
"203","Springfield - Redbank","Springfield QLD 4300, Australia","Qld",39.85,52347.9849
"204","Beaudesert","Beaudesert QLD 4285, Australia","Qld",60.73,44495.3966
"205","Beenleigh","Beenleigh QLD 4207, Australia","Qld",27.93,46983.8536
"206","Browns Plains","Browns Plains QLD 4118, Australia","Qld",27.2,48643.1969
"207","Jimboomba","Jimboomba QLD 4280, Australia","Qld",42.6,52934.9483
"208","Loganlea - Carbrook","Carbrook QLD 4130, Australia","Qld",32.18,51557.9277
"209","Springwood - Kingston","Springwood QLD 4127, Australia","Qld",20.88,49029.2983
"210","Bowen Basin - North","Moranbah QLD 4744, Australia","Qld",675.62,72667.408
"211","Mackay","Mackay QLD 4740, Australia","Qld",651.53,66830.1351
"212","Whitsunday","Whitsunday Islands, Queensland, Australia","Qld",NA,49283.7235
"213","Bribie - Beachmere","Beachmere QLD 4510, Australia","Qld",53.68,44332.4752
"214","Caboolture","Caboolture QLD 4510, Australia","Qld",50.5,44904.9319
"215","Caboolture Hinterland","Hinterland Dr, Little Mountain QLD 4551, Australia","Qld",74.27,43559.1565
"216","Narangba - Burpengary","Burpengary Rd, Narangba QLD 4504, Australia","Qld",41.52,50280.2222
"217","Redcliffe","Redcliffe QLD 4020, Australia","Qld",42.25,50886.1559
"218","The Hills District","Arana Hills QLD 4054, Australia","Qld",23.87,62872.0378
"219","North Lakes","North Lakes QLD 4509, Australia","Qld",36.77,55290.6132
"220","Strathpine","Strathpine QLD 4500, Australia","Qld",35.37,50425.2892
"221","Far North","20 Octagonal Cres, Kelso QLD 4815, Australia","Qld",922.6,48893.1585
"222","Outback - North","59 Arlington Esplanade, Clifton Beach QLD 4879, Australia","Qld",1177.65,65411.8262
"223","Outback - South","815 Zillmere Rd, Aspley QLD 4034, Australia","Qld",25.63,49277.0281
"224","Buderim","Buderim QLD 4556, Australia","Qld",76.67,52079.053
"225","Caloundra","Caloundra QLD 4551, Australia","Qld",77.48,48482.5073
"226","Maroochy","Maroochydore QLD 4558, Australia","Qld",87.12,47459.227
"227","Noosa","Noosa, QLD, Australia","Qld",112.87,47410.1274
"228","Sunshine Coast Hinterland","Hinterland Dr, Little Mountain QLD 4551, Australia","Qld",74.27,45174.9797
"229","Nambour","Nambour QLD 4560, Australia","Qld",83.9,45940.4871
"230","Noosa Hinterland","2/84 Memorial Dr, Eumundi QLD 4562, Australia","Qld",89.7,45702.8004
"231","Toowoomba","Toowoomba QLD, Australia","Qld",98.58,50837.0563
"232","Charters Towers - Ayr - Ingham","","Qld",NA,50187.6025
"233","Townsville","Townsville City QLD 4810, Australia","Qld",908.02,59372.5754
"234","Bundaberg","Bundaberg Central QLD 4670, Australia","Qld",256.47,45303.3082
"235","Burnett","Burnett River, Queensland, Australia","Qld",268.55,39551.9596
"236","Gympie - Cooloola","Cooloola QLD 4580, Australia","Qld",166.33,41022.7158
"237","Hervey Bay","Hervey Bay QLD 4655, Australia","Qld",208.15,43534.6067
"238","Maryborough","Maryborough QLD 4650, Australia","Qld",186.37,43861.5654
"239","Adelaide City","Adelaide SA, Australia","SA",0,72072.6333
"240","Adelaide Hills","Adelaide Hills, SA, Australia","SA",45.08,59533.265
"241","Burnside","Burnside, SA, Australia","SA",15.12,83758.3381
"242","Campbelltown (SA)","Campbelltown SA 5074, Australia","SA",19.22,52003.1718
"243","Norwood - Payneham - St Peters","Norwood Payneham and St Peters, SA, Australia","SA",12.67,67087.908
"244","Prospect - Walkerville","Walkerville SA 5081, Australia","SA",15.67,70999.1375
"245","Unley","Unley SA 5061, Australia","SA",8.2,77848.5317
"246","Gawler - Two Wells","Gawler Rd, South Australia, Australia","SA",50.8,50715.4232
"247","Playford","Playford, SA, Australia","SA",43.98,45048.883
"248","Port Adelaide - East","Port Adelaide SA 5015, Australia","SA",28.95,48180.0984
"249","Salisbury","Salisbury SA 5108, Australia","SA",34.5,47174.6725
"250","Tea Tree Gully","Tea Tree Gully SA 5091, Australia","SA",30.82,52518.7176
"251","Holdfast Bay","Holdfast Bay, SA, Australia","SA",22.75,65648.397
"252","Marion","Marion SA 5043, Australia","SA",21,50937.4873
"253","Mitcham","Mitcham SA 5062, Australia","SA",17.18,63927.6792
"254","Onkaparinga","Onkaparinga, SA, Australia","SA",42.85,48744.7438
"255","Charles Sturt","Charles Sturt, SA, Australia","SA",20.82,53620.1109
"256","Port Adelaide - West","Port Adelaide SA 5015, Australia","SA",28.95,50915.1693
"257","West Torrens","West Torrens, SA, Australia","SA",13.68,52374.7665
"258","Barossa","Barossa Valley, Tanunda SA 5352, Australia","SA",66.12,50783.4931
"259","Lower North","South Australia, Australia","SA",695.55,49332.8231
"260","Mid North","85 Ellen St, Port Pirie SA 5540, Australia","SA",158.8,51511.0599
"261","Yorke Peninsula","Yorke Peninsula, SA, Australia","SA",138.97,48722.4258
"262","Eyre Peninsula and South West","Eyre Peninsula, Cummins SA 5631, Australia","SA",412.35,57603.8739
"263","Outback - North and East","4/34 Mileham St, Windsor NSW 2756, Australia","SA",861.29,59879.194
"264","Fleurieu - Kangaroo Island","Kangaroo Island, South Australia, Australia","SA",233.6,42137.4999
"265","Limestone Coast","Limestone Coast, SA, Australia","SA",236.25,47998.2067
"266","Murray and Mallee","Mallee St & Murray St, Tailem Bend SA 5260, Australia","SA",70.27,42665.3206
"267","Augusta - Margaret River - Busselton","17 Foreshore Parade, Busselton WA 6280, Australia","WA",150.23,50949.7622
"268","Bunbury","Bunbury WA 6230, Australia","WA",115.63,62106.5304
"269","Manjimup","Manjimup WA 6258, Australia","WA",199.32,47922.3255
"270","Mandurah","Mandurah WA, Australia","WA",53.75,59953.9593
"271","Cottesloe - Claremont","Claremont WA 6010, Australia","WA",18.05,122925.3122
"272","Perth City","Perth, WA, Australia","WA",2.27,81149.3639
"273","Bayswater - Bassendean","Bassendean WA 6054, Australia","WA",19.2,60158.169
"274","Mundaring","Mundaring WA 6073, Australia","WA",42.03,62291.7698
"275","Swan","Swan, WA, Australia","WA",63.5,59211.8858
"276","Joondalup","Joondalup WA 6027, Australia","WA",23.95,66362.573
"277","Stirling","Stirling WA 6021, Australia","WA",12.45,66691.7635
"278","Wanneroo","Wanneroo WA 6065, Australia","WA",29.23,58447.4943
"279","Armadale","Armadale WA 6112, Australia","WA",38.98,58299.0796
"280","Belmont - Victoria Park","Victoria Park WA 6100, Australia","WA",14.67,61901.2048
"281","Canning","Canning, WA, Australia","WA",24.6,59306.7373
"282","Gosnells","Gosnells WA 6110, Australia","WA",33.27,55882.0402
"283","Kalamunda","Kalamunda WA 6076, Australia","WA",33.22,63772.5691
"284","Serpentine - Jarrahdale","Serpentine-Jarrahdale, WA, Australia","WA",50.02,62993.6709
"285","South Perth","South Perth WA 6151, Australia","WA",13.9,79429.762
"286","Cockburn","Cockburn, WA, Australia","WA",NA,62941.2236
"287","Fremantle","Fremantle WA 6160, Australia","WA",32.3,74308.8969
"288","Kwinana","Kwinana, WA, Australia","WA",32.87,58061.3929
"289","Melville","Melville WA 6156, Australia","WA",22.85,74841.1812
"290","Rockingham","Rockingham WA 6168, Australia","WA",43.6,62552.8904
"291","Albany","Albany WA 6330, Australia","WA",275.77,47131.1524
"292","Wheat Belt - North","L1/298 Fitzgerald Street, Northam WA 6401, Australia","WA",81.67,52204.0338
"293","Wheat Belt - South","Wheat St, Casino NSW 2470, Australia","WA",2705.07,47464.8065
"294","Kimberley","Kimberley, WA, Australia","WA",2259.35,60148.1259
"295","East Pilbara","East Pilbara, WA, Australia","WA",NA,88516.5357
"296","West Pilbara","Pilbara, WA, Australia","WA",NA,92812.7507
"297","Esperance","Esperance WA 6450, Australia","WA",447.88,55809.5067
"298","Gascoyne","Gascoyne, WA, Australia","WA",896.69,55338.5969
"299","Goldfields","5/50 Colin St, West Perth WA 6005, Australia","WA",7.48,72876.0813
"300","Mid West","2, Foreshore Business Centre, 209 Foreshore Dr, Geraldton WA 6530, Australia","WA",269.78,59795.5015
"301","Brighton","Brighton TAS 7030, Australia","Tas",27.17,47420.1705
"302","Hobart - North East","Hobart TAS 7000, Australia","Tas",0,53325.5133
"303","Hobart - North West","North Hobart TAS 7000, Australia","Tas",5.22,46054.3089
"304","Hobart - South and West","Hobart TAS 7000, Australia","Tas",0,53430.4079
"305","Hobart Inner","374 Murray St, North Hobart TAS 7000, Australia","Tas",4.5,62954.6144
"306","Sorell - Dodges Ferry","Dodges Ferry TAS 7173, Australia","Tas",34.8,46708.2263
"307","Launceston","Launceston TAS 7250, Australia","Tas",145.78,50537.9951
"308","Meander Valley - West Tamar","Valley Rd, Sidmouth TAS 7270, Australia","Tas",177.42,44856.9482
"309","North East","North East Isle, Tasmania, Australia","Tas",NA,45401.5074
"310","Central Highlands (Tas.)","Central Highlands, TAS, Australia","Tas",84.05,43992.1257
"311","Huon - Bruny Island","Bruny Island, Tasmania, Australia","Tas",109.52,42612.8733
"312","South East Coast","South East Cape, Tasmania, Australia","Tas",NA,39782.9509
"313","Burnie - Ulverstone","57 Water St, Ulverstone TAS 7315, Australia","Tas",202.43,48047.3063
"314","Devonport","Devonport TAS 7310, Australia","Tas",193.78,46439.2944
"315","West Coast","West Coast, TAS, Australia","Tas",313.6,49051.6163
"316","Darwin City","Darwin City NT 0800, Australia","NT",0,66652.707
"317","Darwin Suburbs","","NT",NA,62913.3261
"318","Litchfield","Litchfield National Park, Litchfield Park Road, Litchfield Park NT 0822, Australia","NT",80.73,63007.0617
"319","Palmerston","Palmerston City NT 0830, Australia","NT",20.87,62221.4681
"320","Alice Springs","Alice Springs NT 0870, Australia","NT",1010.77,57799.1564
"321","Barkly","Barkly, NT, Australia","NT",NA,51569.0867
"322","Daly - Tiwi - West Arnhem","","NT",NA,49919.7865
"323","East Arnhem","East Arnhem NT 0822, Australia","NT",1765.9,71089.5254
"324","Katherine","Katherine NT 0850, Australia","NT",197.23,56443.3379
"325","Belconnen","Belconnen, ACT, Australia","ACT",17.58,64247.9425
"326","Canberra East","Canberra ACT 2601, Australia","ACT",0,59305.6214
"327","Gungahlin","Gungahlin, ACT, Australia","ACT",23.18,68146.8971
"328","North Canberra","Canberra ACT, Australia","ACT",10.13,70536.039
"329","South Canberra","Canberra ACT, Australia","ACT",10.13,99187.8874
"330","Tuggeranong","Tuggeranong, ACT, Australia","ACT",22.62,66006.6009
"331","Weston Creek","Weston Creek, Canberra ACT 2611, Australia","ACT",16.08,70712.3512
"332","Woden Valley","Woden Valley, ACT, Australia","ACT",14.6,76894.4372
"333","Urriarra - Namadgi","","ACT",NA,63234.7053
